date,ticker,prev_close,open,high,low,close,volume,prev_volume,vwap,n_transactions,gap_pct,gap_direction,day_return_pct,day_range_pct,max_runup_pct,max_drawdown_pct,gap_filled,vol_ratio,close_vs_open,sector,sic_code,market_cap,shares_outstanding,primary_exchange,ticker_type,float_millions,mcap_millions,dollar_volume,dollar_volume_millions,turnover_ratio,first_5m_ret,first_15m_ret,first_30m_ret,first_60m_ret,max_runup_from_open,max_dd_from_open,time_to_hod_bars,time_to_hod_pct,reversion_from_hod_pct,gap_fill_pct,first_30m_vol_pct,first_60m_vol_pct,vol_decay_ratio,first_30m_range_pct,close_in_range_pct,green_bar_pct,opening_ramp_bars,opening_ramp_body_pct,avg_bar_range_pct,intraday_error
2025-03-18,AVCRF,0.0312,0.0419,0.0419,0.0278,0.0414,63000,153000,0.0373,6,34.51,up,-1.19,33.65,0.0,-33.65,1,0.41,red,,,,,OTC Link,OS,,,2349.9,0.0,,-33.65,-1.19,-1.19,-1.19,0.0,-33.65,0.0,0.0,-1.19,100.0,100.0,100.0,1.0,100.0,96.5,0.0,0.0,0.0,0.0,
2025-03-18,MGAM,0.012,0.0158,0.017,0.012,0.012,67349,129308,0.0161,11,31.67,up,-24.05,31.65,7.59,-24.05,1,0.52,red,,,,,OTC Link,CS,,,1084.3189,0.0,,-24.05,-24.05,-24.05,-24.05,7.59,-24.05,1.0,20.0,-29.41,100.0,100.0,100.0,1.0,100.0,0.0,20.0,1.0,1.27,0.253,
2025-03-18,MCIC,0.0061,0.008,0.0088,0.008,0.0083,763729,2045606,0.0082,37,31.15,up,3.75,10.0,10.0,0.0,0,0.37,green,,,,,OTC Link,CS,,,6262.577800000001,0.01,,7.5,0.0,3.75,3.75,10.0,0.0,6.0,27.3,-5.68,0.0,100.0,100.0,1.0,80.0,30.0,9.1,0.0,0.0,0.227,
2025-03-18,APLIF,0.0228,0.0299,0.0299,0.0214,0.0214,115131,4000,0.0251,6,31.14,up,-28.43,28.43,0.0,-28.43,1,28.78,red,,,,,OTC Link,OS,,,2889.7881,0.0,,-28.43,-28.43,-28.43,-28.43,0.0,-28.43,0.0,0.0,-28.43,100.0,100.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,
2025-03-18,AGMH,5.28,3.66,3.71,3.145,3.48,885607,456642,3.51,25251,-30.68,down,-4.92,15.44,1.37,-14.07,0,1.94,red,,,2758717.1999999997,2298931.0,XNAS,CS,2.3,2.76,3108480.57,3.11,0.39,-8.88,-6.15,-10.93,-6.69,1.37,-14.07,302.0,79.5,-5.93,3.1,29.2,45.6,0.196,91.2,61.1,30.8,0.0,0.0,1.621,
2025-03-18,BBRRF,0.0096,0.0065,0.0096,0.0038,0.0096,409000,3528,0.0056,17,-32.29,down,47.69,89.23,47.69,-41.54,1,115.93,green,,,,,OTC Link,OS,,,2290.4,0.0,,-10.77,47.69,47.69,47.69,47.69,-41.54,7.0,87.5,0.0,100.0,100.0,100.0,1.0,100.0,100.0,0.0,0.0,0.0,5.0,
2025-03-18,IMTXW,0.0387,0.025,0.0327,0.0249,0.0327,50005,22370,0.0256,37,-35.4,down,30.8,31.2,30.8,-0.4,0,2.24,green,,,,,,unknown,,,1280.1280000000002,0.0,,30.8,30.8,30.8,30.8,30.8,-0.4,4.0,80.0,0.0,56.2,100.0,100.0,1.0,100.0,100.0,20.0,0.0,0.0,3.28,
2025-03-18,ATXI,0.8521,0.549,0.549,0.39,0.42,1156557,142726,0.4565,3674,-35.57,down,-23.5,28.96,0.0,-28.96,0,8.1,red,,,,,OTC Link,CS,,,527968.2705,0.53,,-6.61,-3.46,-10.75,-18.0,0.0,-28.96,0.0,0.0,-25.3,0.0,19.6,42.0,0.208,44.8,12.6,24.5,0.0,0.0,2.517,
2025-03-18,ROSN,0.0098,0.006,0.01,0.006,0.01,237100,5522,0.0098,11,-38.78,down,66.67,66.67,66.67,0.0,1,42.94,green,,,,,OTC Link,CS,,,2323.58,0.0,,,,,,,,,,,,,,,,,,,,,insufficient_bars
2025-03-18,CHIF,0.011,0.0067,0.023,0.0067,0.02,54700,3385,0.0182,8,-38.85,down,198.51,242.69,242.69,0.0,1,16.16,green,,,,,OTC Link,CS,,,995.5400000000001,0.0,,198.51,198.51,198.51,198.51,243.28,0.0,1.0,14.3,-13.04,100.0,100.0,100.0,1.0,100.0,81.6,0.0,0.0,0.0,6.823,
